Commodity,Year,Attribute,Value,Notes
High fructose corn syrup (HFCS): Supply and use - Dry weight basis,1994,"Food availability-Total-Total-1,000 short tons",7481.347668,Computed from unrounded data.
High fructose corn syrup (HFCS): Supply and use - Dry weight basis,1995,"Food availability-Total-Total-1,000 short tons",7718.180347,Computed from unrounded data.
High fructose corn syrup (HFCS): Supply and use - Dry weight basis,1996,"Food availability-Total-Total-1,000 short tons",7985.594419,Computed from unrounded data.
High fructose corn syrup (HFCS): Supply and use - Dry weight basis,1997,"Food availability-Total-Total-1,000 short tons",8457.886767,Computed from unrounded data.
High fructose corn syrup (HFCS): Supply and use - Dry weight basis,1998,"Food availability-Total-Total-1,000 short tons",8822.973906,Computed from unrounded data.
High fructose corn syrup (HFCS): Supply and use - Dry weight basis,1999,"Food availability-Total-Total-1,000 short tons",9127.091141,Computed from unrounded data.
High fructose corn syrup (HFCS): Supply and use - Dry weight basis,2000,"Food availability-Total-Total-1,000 short tons",9058.044926,Computed from unrounded data.
High fructose corn syrup (HFCS): Supply and use - Dry weight basis,2001,"Food availability-Total-Total-1,000 short tons",9082.668733,Computed from unrounded data.
High fructose corn syrup (HFCS): Supply and use - Dry weight basis,2002,"Food availability-Total-Total-1,000 short tons",9229.683919,Computed from unrounded data.
High fructose corn syrup (HFCS): Supply and use - Dry weight basis,2003,"Food availability-Total-Total-1,000 short tons",9066.548178,Computed from unrounded data.
High fructose corn syrup (HFCS): Supply and use - Dry weight basis,2004,"Food availability-Total-Total-1,000 short tons",8995.092444,Computed from unrounded data.
High fructose corn syrup (HFCS): Supply and use - Dry weight basis,2005,"Food availability-Total-Total-1,000 short tons",8994.556,Computed from unrounded data.
High fructose corn syrup (HFCS): Supply and use - Dry weight basis,2006,"Food availability-Total-Total-1,000 short tons",8978.475548,Computed from unrounded data.
High fructose corn syrup (HFCS): Supply and use - Dry weight basis,2007,"Food availability-Total-Total-1,000 short tons",8701.89389,Computed from unrounded data.
High fructose corn syrup (HFCS): Supply and use - Dry weight basis,2008,"Food availability-Total-Total-1,000 short tons",8295.147207,Computed from unrounded data.
High fructose corn syrup (HFCS): Supply and use - Dry weight basis,2009,"Food availability-Total-Total-1,000 short tons",7964.521447,Computed from unrounded data.
High fructose corn syrup (HFCS): Supply and use - Dry weight basis,2010,"Food availability-Total-Total-1,000 short tons",7823.268623,Computed from unrounded data.
High fructose corn syrup (HFCS): Supply and use - Dry weight basis,2011,"Food availability-Total-Total-1,000 short tons",7572.793723,Computed from unrounded data.
High fructose corn syrup (HFCS): Supply and use - Dry weight basis,2012,"Food availability-Total-Total-1,000 short tons",7482.826798,Computed from unrounded data.
High fructose corn syrup (HFCS): Supply and use - Dry weight basis,2013,"Food availability-Total-Total-1,000 short tons",7244.261681,Computed from unrounded data.
High fructose corn syrup (HFCS): Supply and use - Dry weight basis,2014,"Food availability-Total-Total-1,000 short tons",7296.200733,Computed from unrounded data.
High fructose corn syrup (HFCS): Supply and use - Dry weight basis,2015,"Food availability-Total-Total-1,000 short tons",7216.693325,Computed from unrounded data.
High fructose corn syrup (HFCS): Supply and use - Dry weight basis,2016,"Food availability-Total-Total-1,000 short tons",7085.493025,Computed from unrounded data.
High fructose corn syrup (HFCS): Supply and use - Dry weight basis,2017,"Food availability-Total-Total-1,000 short tons",6954.861438,Computed from unrounded data.
High fructose corn syrup (HFCS): Supply and use - Dry weight basis,2018,"Food availability-Total-Total-1,000 short tons",6787.433409,Computed from unrounded data.
High fructose corn syrup (HFCS): Supply and use - Dry weight basis,2019,"Food availability-Total-Total-1,000 short tons",6679.880067,Computed from unrounded data.
High fructose corn syrup (HFCS): Supply and use - Dry weight basis,1967,Food availability-Total-High fructose corn syrup-42-Million pounds,6,
High fructose corn syrup (HFCS): Supply and use - Dry weight basis,1968,Food availability-Total-High fructose corn syrup-42-Million pounds,30,
High fructose corn syrup (HFCS): Supply and use - Dry weight basis,1969,Food availability-Total-High fructose corn syrup-42-Million pounds,66,
High fructose corn syrup (HFCS): Supply and use - Dry weight basis,1970,Food availability-Total-High fructose corn syrup-42-Million pounds,112.3653764,
High fructose corn syrup (HFCS): Supply and use - Dry weight basis,1971,Food availability-Total-High fructose corn syrup-42-Million pounds,171.2604844,
High fructose corn syrup (HFCS): Supply and use - Dry weight basis,1972,Food availability-Total-High fructose corn syrup-42-Million pounds,242.3200713,
High fructose corn syrup (HFCS): Supply and use - Dry weight basis,1973,Food availability-Total-High fructose corn syrup-42-Million pounds,436.9863122,
High fructose corn syrup (HFCS): Supply and use - Dry weight basis,1974,Food availability-Total-High fructose corn syrup-42-Million pounds,590.7840288,
High fructose corn syrup (HFCS): Supply and use - Dry weight basis,1975,Food availability-Total-High fructose corn syrup-42-Million pounds,1053.77,
High fructose corn syrup (HFCS): Supply and use - Dry weight basis,1976,Food availability-Total-High fructose corn syrup-42-Million pounds,1564.415281,
High fructose corn syrup (HFCS): Supply and use - Dry weight basis,1977,Food availability-Total-High fructose corn syrup-42-Million pounds,2083.794774,
High fructose corn syrup (HFCS): Supply and use - Dry weight basis,1978,Food availability-Total-High fructose corn syrup-42-Million pounds,2198.009812,
High fructose corn syrup (HFCS): Supply and use - Dry weight basis,1979,Food availability-Total-High fructose corn syrup-42-Million pounds,2724.312645,
High fructose corn syrup (HFCS): Supply and use - Dry weight basis,1980,Food availability-Total-High fructose corn syrup-42-Million pounds,3075.236968,
High fructose corn syrup (HFCS): Supply and use - Dry weight basis,1981,Food availability-Total-High fructose corn syrup-42-Million pounds,3182.550739,
High fructose corn syrup (HFCS): Supply and use - Dry weight basis,1982,Food availability-Total-High fructose corn syrup-42-Million pounds,3208.305416,
High fructose corn syrup (HFCS): Supply and use - Dry weight basis,1983,Food availability-Total-High fructose corn syrup-42-Million pounds,3326.576,
High fructose corn syrup (HFCS): Supply and use - Dry weight basis,1984,Food availability-Total-High fructose corn syrup-42-Million pounds,3460.048,
High fructose corn syrup (HFCS): Supply and use - Dry weight basis,1985,Food availability-Total-High fructose corn syrup-42-Million pounds,3694.7,
High fructose corn syrup (HFCS): Supply and use - Dry weight basis,1986,Food availability-Total-High fructose corn syrup-42-Million pounds,3739.58,
High fructose corn syrup (HFCS): Supply and use - Dry weight basis,1987,Food availability-Total-High fructose corn syrup-42-Million pounds,4089.834,
High fructose corn syrup (HFCS): Supply and use - Dry weight basis,1988,Food availability-Total-High fructose corn syrup-42-Million pounds,4666.13,
High fructose corn syrup (HFCS): Supply and use - Dry weight basis,1989,Food availability-Total-High fructose corn syrup-42-Million pounds,4700.98,
High fructose corn syrup (HFCS): Supply and use - Dry weight basis,1990,Food availability-Total-High fructose corn syrup-42-Million pounds,5083.984,
High fructose corn syrup (HFCS): Supply and use - Dry weight basis,1991,Food availability-Total-High fructose corn syrup-42-Million pounds,5404.61,
High fructose corn syrup (HFCS): Supply and use - Dry weight basis,1992,Food availability-Total-High fructose corn syrup-42-Million pounds,5601.076,
High fructose corn syrup (HFCS): Supply and use - Dry weight basis,1993,Food availability-Total-High fructose corn syrup-42-Million pounds,5783.16,
High fructose corn syrup (HFCS): Supply and use - Dry weight basis,1994,Food availability-Total-High fructose corn syrup-42-Million pounds,,
High fructose corn syrup (HFCS): Supply and use - Dry weight basis,1995,Food availability-Total-High fructose corn syrup-42-Million pounds,,
High fructose corn syrup (HFCS): Supply and use - Dry weight basis,1996,Food availability-Total-High fructose corn syrup-42-Million pounds,,
High fructose corn syrup (HFCS): Supply and use - Dry weight basis,1997,Food availability-Total-High fructose corn syrup-42-Million pounds,,
High fructose corn syrup (HFCS): Supply and use - Dry weight basis,1998,Food availability-Total-High fructose corn syrup-42-Million pounds,,
High fructose corn syrup (HFCS): Supply and use - Dry weight basis,1999,Food availability-Total-High fructose corn syrup-42-Million pounds,,
High fructose corn syrup (HFCS): Supply and use - Dry weight basis,2000,Food availability-Total-High fructose corn syrup-42-Million pounds,,
High fructose corn syrup (HFCS): Supply and use - Dry weight basis,2001,Food availability-Total-High fructose corn syrup-42-Million pounds,,
