Commodity,Year,Attribute,Value,Notes
Fruits and vegetables (fresh weight equivalent): Per capita availability,1999,Vegetables-Processing-Freezing-Pounds ,81.39001558,"Includes asparagus, lima beans, snap beans, broccoli, carrots, cauliflower, sweet corn, green peas, potatoes, spinach and other miscellaneous vegetables."
Fruits and vegetables (fresh weight equivalent): Per capita availability,1999,Vegetables-Processing-Dried-Pounds ,14.67779407,Includes potatoes and onions.
Fruits and vegetables (fresh weight equivalent): Per capita availability,1999,Vegetables-Processing-Potatoes for chips-Pounds ,15.46644403,
Fruits and vegetables (fresh weight equivalent): Per capita availability,1999,Vegetables-Processing-Legumes-Pounds ,8.396759668,
Fruits and vegetables (fresh weight equivalent): Per capita availability,1999,Vegetables-Processing-Total processed vegetables-Pounds ,222.8339907,Computed from unrounded data.
Fruits and vegetables (fresh weight equivalent): Per capita availability,1999,Vegetables-Total vegetables-Pounds ,424.2129856,Computed from unrounded data.
Fruits and vegetables (fresh weight equivalent): Per capita availability,1999,Total fruit and vegetables-Pounds ,709.130352,Computed from unrounded data.
Fruits and vegetables (fresh weight equivalent): Per capita availability,2000,Fruit-Fresh-Pounds ,128.7073604,"Includes apples, apricots, avocados, bananas, cherries, cantaloupe, cranberries, grapes, grapefruit, honeydew, kiwifruit, lemons, limes, mangoes, nectarines, oranges, papayas, peaches, pears, pineapples, plums, prunes, strawberries, tangelos, tangerines, temples, and watermelon."
Fruits and vegetables (fresh weight equivalent): Per capita availability,2000,Fruit-Processing-Canning-Pounds ,17.60118519,"Includes apples, applesauce, apricots, cherries, olives, peaches, pears, pineapples, plums, and prunes."
Fruits and vegetables (fresh weight equivalent): Per capita availability,2000,Fruit-Processing-Freezing-Pounds ,4.472361216,"Includes apples, apricots, blackberries, blueberries, boysenberries, cherries, loganberries, peaches, plums, prunes, raspberries, strawberries, and other miscellaneous fruit and berries."
Fruits and vegetables (fresh weight equivalent): Per capita availability,2000,Fruit-Processing-Dried-Pounds ,10.54582575,"Includes apples, apricots, dates, figs, peaches, pears, prunes, and raisins."
Fruits and vegetables (fresh weight equivalent): Per capita availability,2000,Fruit-Processing-Juice-Pounds ,126.4985179,"Includes apple, cranberry, grape, grapefruit, lemon, lime, orange, pineapple, and prune juice."
Fruits and vegetables (fresh weight equivalent): Per capita availability,2000,Fruit-Processing-Other process-Pounds ,0.330277319,
Fruits and vegetables (fresh weight equivalent): Per capita availability,2000,Fruit-Processing-Total processed fruit-Pounds ,159.4481674,Computed from unrounded data.
Fruits and vegetables (fresh weight equivalent): Per capita availability,2000,Fruit-Total fruit-Pounds ,288.1555278,Computed from unrounded data.
Fruits and vegetables (fresh weight equivalent): Per capita availability,2000,Vegetables-Fresh-Pounds ,200.6609529,"Includes artichokes, asparagus, snap beans, broccoli, cabbage, carrots, cauliflower, celery, sweet corn, cucumbers, eggplant, endive, escarole, garlic, head, romaine, and leaf lettuce, mushrooms, okra, onions, bell peppers, potatoes, radishes, spinach, sweet potatoes, and tomatoes."
Fruits and vegetables (fresh weight equivalent): Per capita availability,2000,Vegetables-Processing-Canning-Pounds ,103.1862141,"Includes asparagus, lima beans, snap beans, beets, cabbage, carrots, sweet corn, cucumbers, mushrooms, green peas, chile peppers, potatoes, spinach, tomatoes, and other miscellaneous vegetables."
